Word_No,Cluster,Language,Word
22,1,Spanish,a
22,2,English,at
22,3,German,beim
22,4,Hindi,par
22,5,Latin,apud
22,6,French,à
22,7,Russian,vey
22,8,Sanskrit,
23,1,French,un
23,1,Italian,uno
23,1,Spanish,uno
23,2,English,one
23,3,German,ein
23,4,Hindi,ek
23,5,Latin,unus
23,6,Russian,odin
23,7,Sanskrit,ekah
24,1,German,haben
24,1,Latin,habet
24,2,English,have
24,3,Hindi,hai
24,4,Italian,avere
24,5,Spanish,thener
24,6,French,avoir
24,7,Russian,imet
24,8,Sanskrit,
25,0,English,this
25,1,German,diese
25,2,Hindi,is
25,3,Italian,Questo
25,4,Latin,haec
25,5,Spanish,estha
25,6,French,ce
25,7,Russian,etot
25,8,Sanskrit,etath
26,0,English,from
26,1,German,fon
26,2,Hindi,se
26,3,Italian,a partire dala
26,4,Latin,ex
26,5,Spanish,dhesdhe
26,6,French,de
26,7,Russian,ot
26,8,Sanskrit,
27,1,Italian,o
27,1,Spanish,o
27,2,English,or
27,3,German,oder
27,4,Hindi,ya
27,5,Latin,uel
27,6,French,ou
27,7,Russian,ili zhe
27,8,Sanskrit,
28,1,English,had
28,1,Latin,had
28,2,German,hatten
28,3,Hindi,tha
28,4,Italian,aveva
28,5,Spanish,thenia
28,6,French,eu
28,7,Russian,Imel
28,8,Sanskrit,
29,0,English,by
29,1,German,duish
29,2,Hindi,dvaara
29,3,Italian,di
29,4,Latin,per
29,5,Spanish,por
29,6,French,par
29,7,Russian,ot
29,8,Sanskrit,
30,1,Italian,caldo
30,1,Latin,calidi
30,2,English,hot
30,3,German,heiss
30,4,Hindi,garam
30,5,Spanish,caliente
30,6,French,chaud
30,7,Russian,goryachey
30,8,Sanskrit,ushna
31,1,Hindi,shabd
31,1,Sanskrit,shabda
31,2,English,word
31,3,German,Wort
31,4,Italian,parola
31,5,Latin,sermo
31,6,Spanish,palabra
31,7,French,mot
31,8,Russian,slovo
32,0,English,but
32,1,German,aber
32,2,Hindi,parantu
32,3,Italian,ma
32,4,Latin,autem
32,5,Spanish,pero
32,6,French,mais
32,7,Russian,no
32,8,Sanskrit,param
33,0,English,what
33,1,German,vas
33,2,Hindi,kya
33,3,Italian,ke cosa
33,4,Latin,Quid
33,5,Spanish,ke
33,6,French,quoi
33,7,Russian,kakiye
33,8,Sanskrit,kim
34,0,English,some
34,1,German,etwas
34,2,Hindi,kuchh
34,3,Italian,alcuni
34,4,Latin,aliquid
34,5,Spanish,algunos
34,6,French,certains
34,7,Russian,nemnogo
34,8,Sanskrit,kathichana
35,1,Italian,noi
35,1,Latin,nobis
35,2,English,we
35,3,German,wir
35,4,Hindi,ham
35,5,Spanish,nosothros
35,6,French,nous
35,7,Russian,my
35,8,Sanskrit,
36,0,English,can
36,1,German,kannen
36,2,Hindi,kar sakate hain
36,3,Italian,può
36,4,Latin,potes
36,5,Spanish,puedhe
36,6,French,pouvez
36,7,Russian,Mozhno
36,8,Sanskrit,kutupa
37,0,English,out
37,1,German,aus
37,2,Hindi,baahar
37,3,Italian,su
37,4,Latin,de
37,5,Spanish,afuera
37,6,French,en dehors
37,7,Russian,iz
37,8,Sanskrit,bahis
38,1,English,other
38,1,Hindi,other
38,2,German,andere
38,3,Italian,altro
38,4,Latin,alium
38,5,Spanish,otro
38,6,French,autre
38,7,Russian,Drugoy
38,8,Sanskrit,para
39,1,English,were
39,1,Latin,were
39,2,German,wurden
39,3,Hindi,the
39,4,Italian,erano
39,5,Spanish,fueron
39,6,French,étaient
39,7,Russian,my
39,8,Sanskrit,
40,1,English,all
40,1,German,allez
40,2,Hindi,sab
40,3,Italian,tutti
40,4,Latin,omnis
40,5,Spanish,todhos
40,6,French,tout
40,7,Russian,vse
40,8,Sanskrit,sakala
41,1,French,Là
41,1,Italian,Là
41,2,English,there
41,3,German,Dort
41,4,Hindi,kya aap vahaan maujood hain
41,5,Latin,ibi
41,6,Spanish,ahi
41,7,Russian,tam
41,8,Sanskrit,tatra
42,0,English,when
42,1,German,wann
42,2,Hindi,kab
42,3,Italian,dove
42,4,Latin,quod
42,5,Spanish,cuandho
42,6,French,quand
42,7,Russian,kogda
42,8,Sanskrit,kadha
43,0,English,up
43,1,German,oben
43,2,Hindi,oopar
43,3,Italian,su
43,4,Latin,autem
43,5,Spanish,arriba
43,6,French,en haut
43,7,Russian,vverkh
43,8,Sanskrit,uppar
44,1,English,use
44,1,Italian,use
44,1,Latin,use
44,2,German,benutzen
44,3,Hindi,upyog
44,4,Spanish,uthilazar
44,5,French,utilisation
44,6,Russian,ispolzovaniye
44,7,Sanskrit,viniyoga
45,0,English,your
45,1,German,Ihre
45,2,Hindi,tunhaare
45,3,Italian,il tuo
45,4,Latin,vestra
45,5,Spanish,tu
45,6,French,votre
45,7,Russian,vash
45,8,Sanskrit,bhavadiya
46,1,French,Comment
46,1,Italian,Come
46,2,English,how
46,3,German,Wie
46,4,Hindi,kis tarah
46,5,Latin,quam
46,6,Spanish,como
46,7,Russian,kak
46,8,Sanskrit,kena
47,0,English,said
47,1,German,zagte
47,2,Hindi,kaha hua
47,3,Italian,disse
47,4,Latin,ait:
47,5,Spanish,diho
47,6,French,m'a dit
47,7,Russian,skazal
47,8,Sanskrit,abhhita
48,1,Russian,
48,1,Sanskrit,
48,2,French,un
48,2,Italian,uno
48,2,Spanish,un
48,3,English,an
48,4,German,ein
48,5,Hindi,ek
48,6,Latin,quod
49,0,English,each
49,1,German,yeder
49,2,Hindi,se pratyek
49,3,Italian,ogni
49,4,Latin,quisque
49,5,Spanish,cadha
49,6,French,chaque
49,7,Russian,kazhdyy
49,8,Sanskrit,sarva
50,0,English,she
50,1,German,zie
50,2,Hindi,vah
50,3,Italian,lei
50,4,Latin,quæ
50,5,Spanish,elya
50,6,French,elle
50,7,Russian,ona
50,8,Sanskrit,
51,0,English,which
51,1,German,welche
51,2,Hindi,kaun kaun se
51,3,Italian,quale
51,4,Latin,quod
51,5,Spanish,cual
51,6,French,lequel
51,7,Russian,kotoryy
51,8,Sanskrit,kim
52,1,French,faire
52,1,Italian,fare
52,1,Latin,facite
52,2,English,do
52,3,German,tun
52,4,Hindi,karana
52,5,Spanish,hacer
52,6,Russian,delat
52,7,Sanskrit,
53,0,English,their
53,1,German,ihr
53,2,Hindi,jo apane
53,3,Italian,loro
53,4,Latin,eorum
53,5,Spanish,su
53,6,French,leur
53,7,Russian,ikh
53,8,Sanskrit,
54,1,French,temps
54,1,Italian,tempo
54,1,Latin,tempus
54,2,English,time
54,3,German,Zeit
54,4,Hindi,pahar
54,5,Spanish,hora
54,6,Russian,vremya
54,7,Sanskrit,samya
55,1,French,si
55,1,Latin,si
55,2,English,if
55,3,German,op
55,4,Hindi,agar
55,5,Italian,Se
55,6,Spanish,Si
55,7,Russian,yesli
55,8,Sanskrit,
56,1,French,volonté
56,1,Italian,volontà
56,2,English,will
56,3,German,werden
56,4,Hindi,marjee
56,5,Latin,autem
56,6,Spanish,sera
56,7,Russian,budut
56,8,Sanskrit,iccha
57,0,English,way
57,1,German,Wek
57,2,Hindi,maarg
57,3,Italian,modho
57,4,Latin,ita
57,5,Spanish,camino
57,6,French,façon
57,7,Russian,put
57,8,Sanskrit,paddhati
58,0,English,about
58,1,German,Über
58,2,Hindi,ke baare mein
58,3,Italian,di
58,4,Latin,fere
58,5,Spanish,acerka dhe
58,6,French,sur
58,7,Russian,okolo
58,8,Sanskrit,prati
59,1,Italian,molti
59,1,Latin,multis
59,2,English,many
59,2,Sanskrit,many
59,3,German,fiele
59,4,Hindi,anek
59,5,Spanish,muchos
59,6,French,beaucoup
59,7,Russian,mnogo
60,0,English,then
60,1,German,dann
60,2,Hindi,phir
60,3,Italian,poi
60,4,Latin,tum
60,5,Spanish,enthonces
60,6,French,puis
60,7,Russian,zatem
60,8,Sanskrit,thadanim
61,0,English,them
61,1,German,Sie
61,2,Hindi,unhen
61,3,Italian,loro
61,4,Latin,illis
61,5,Spanish,ellos
61,6,French,leur
61,7,Russian,ikh
61,8,Sanskrit,
62,1,Latin,scribo
62,1,Spanish,escribir
62,2,English,write
62,3,German,schreiben
62,4,Hindi,likho
62,5,Italian,Scrivi
62,6,French,écrire
62,7,Russian,zapisyvat
62,8,Sanskrit,lekhana
63,0,English,would
63,1,German,wurde
63,2,Hindi,hoga
63,3,Italian,voluto
63,4,Latin,"esset,"
63,5,Spanish,haría
63,6,French,aurait
63,7,Russian,bylo by
63,8,Sanskrit,
64,0,English,like
64,1,German,mogen
64,2,Hindi,pasand
64,3,Italian,piache
64,4,Latin,tamquam
64,5,Spanish,me gusta
64,6,French,comme
64,7,Russian,layk
64,8,Sanskrit,sadrza
65,1,English,so
65,1,German,so
65,2,Hindi,isalie
65,3,Italian,cosi
65,4,Latin,ita
65,5,Spanish,asi  ke
65,6,French,alors
65,7,Russian,tak
65,8,Sanskrit,
66,1,English,these
66,1,Latin,these
66,2,German,diese
66,3,Hindi,inh
66,4,Italian,questhi
66,5,Spanish,estos
66,6,French,celles-ci
66,7,Russian,eti
66,8,Sanskrit,etah
67,1,French,sa
67,1,Italian,sua
67,1,Spanish,su
67,2,English,her
67,3,German,ihr
67,4,Hindi,usake
67,5,Latin,eius
67,6,Russian,yey
67,7,Sanskrit,
68,1,English,long
68,1,French,longue
68,1,German,lange
68,1,Latin,longus
68,2,Hindi,lamba
68,3,Italian,lungo
68,4,Spanish,largo
68,5,Russian,dolgo
68,6,Sanskrit,dirgha
69,1,French,faire
69,1,Latin,facere
69,1,Spanish,hacer
69,2,English,make
69,3,German,machen
69,4,Hindi,banaana
69,5,Italian,rendere
69,6,Russian,delat
69,7,Sanskrit,kalpayati
70,1,Italian,cosa
70,1,Spanish,cosa
70,2,English,thing
70,3,German,Ding
70,4,Hindi,cheez
70,5,Latin,rem
70,6,French,chose
70,7,Russian,veshch
70,8,Sanskrit,vastu
71,1,Italian,vedhere
71,1,Latin,videre
71,2,English,see
71,3,German,zehen
71,4,Hindi,dekh
71,5,Spanish,ver
71,6,French,voir
71,7,Russian,uvidet
71,8,Sanskrit,darzanam karoti
72,1,French,lui
72,1,Italian,lui
72,2,English,him
72,3,German,ihm
72,4,Hindi,use
72,5,Latin,eum
72,6,Spanish,el
72,7,Russian,yemu
72,8,Sanskrit,
73,1,Hindi,do
73,1,Latin,duo
73,1,Spanish,dos
73,2,English,two
73,3,German,zwei
73,4,Italian,Due
73,5,French,deux
73,6,Russian,dva
73,7,Sanskrit,dvi
74,1,English,has
74,1,German,has
74,1,Hindi,hai
74,1,Italian,ha
74,1,Latin,has
74,2,Spanish,tiene
74,3,French,a
74,4,Russian,imeyet
74,5,Sanskrit,
75,0,English,look
75,1,German,aussehen
75,2,Hindi,dekhana
75,3,Italian,Guarda
75,4,Latin,quaerere
75,5,Spanish,Mira
75,6,French,Regardez
75,7,Russian,smotret
75,8,Sanskrit,dristikshepa
76,1,Hindi,adhik
76,1,Sanskrit,adhika
76,2,English,more
76,3,German,Mehr
76,4,Italian,Di Piu
76,5,Latin,magis
76,6,Spanish,Mas
76,7,French,plus
76,8,Russian,Bolshe
77,0,English,day
77,1,German,Tak
77,2,Hindi,din
77,3,Italian,giorno
77,4,Latin,dies
77,5,Spanish,dia
77,6,French,journée
77,7,Russian,den
77,8,Sanskrit,divasa
78,1,Italian,potheva
78,1,Latin,poterat
78,2,English,could
78,3,German,konnte
78,4,Hindi,sakata hai
78,5,Spanish,podría
78,6,French,pourrait
78,7,Russian,mog
78,8,Sanskrit,
79,0,English,go
79,1,German,gehen
79,2,Hindi,chale jao
79,3,Italian,partire
79,4,Latin,vade
79,5,Spanish,ir
79,6,French,aller
79,7,Russian,idti
79,8,Sanskrit,
80,1,French,viens
80,1,Italian,venire
80,1,Latin,veni
80,1,Spanish,ven
80,2,English,come
80,3,German,Kommen zie
80,4,Hindi,aaie
80,5,Russian,priyti
80,6,Sanskrit,abhyagata
81,1,English,did
81,1,Latin,did
81,2,German,tat
81,3,Hindi,kiya tha
81,4,Italian,fatho
81,5,Spanish,hizo
81,6,French,fait
81,7,Russian,sdelal
81,8,Sanskrit,
82,1,Hindi,sankhya
82,1,Sanskrit,saghkya
82,2,English,number
82,2,Italian,numero
82,2,Latin,numerus
82,2,Spanish,número
82,3,German,Nummer
82,4,French,nombre
82,5,Russian,chislo
83,1,Hindi,dhvani
83,1,Sanskrit,dhvan
83,2,English,sound
83,3,German,klingen
83,4,Italian,suono
83,5,Latin,canetis
83,6,Spanish,sonar
83,7,French,du son
83,8,Russian,zvuk
84,1,English,no
84,1,French,non
84,1,Italian,no
84,1,Spanish,no
84,2,German,Nein
84,3,Hindi,nahin
84,4,Latin,nihil
84,5,Russian,net
84,6,Sanskrit,
85,1,Hindi,adhikaansh
85,1,Sanskrit,adhikatma
85,2,English,most
85,3,German,die meisten
85,4,Italian,maggor parte
85,5,Latin,maxime
85,6,Spanish,más
85,7,French,plus
85,8,Russian,samyy
86,1,French,personnes
86,1,Italian,persone
86,2,English,people
86,3,German,Menschen
86,4,Hindi,log
86,5,Latin,populus
86,6,Spanish,siente
86,7,Russian,lyudi
86,8,Sanskrit,narah
87,1,English,my
87,1,Russian,moy
87,2,Italian,mio
87,2,Spanish,mi
87,3,German,meine
87,4,Hindi,mere
87,5,Latin,mea
87,6,French,mon
87,7,Sanskrit,
88,0,English,over
88,1,German,Über
88,2,Hindi,oopar
88,3,Italian,oltre
88,4,Latin,super
88,5,Spanish,terminadho
88,6,French,plus de
88,7,Russian,nad
88,8,Sanskrit,uttara
89,0,English,know
89,1,German,kennt
89,2,Hindi,jaanana
89,3,Italian,conoshere
89,4,Latin,scio
89,5,Spanish,saber
89,6,French,savoir
89,7,Russian,znat
89,8,Sanskrit,
90,1,Italian,acqua
90,1,Latin,aqua
90,1,Spanish,agua
90,2,English,water
90,3,German,Wasser
90,4,Hindi,paanee
90,5,French,eau
90,6,Russian,vody
90,7,Sanskrit,jala
91,1,French,que
91,1,Spanish,que
91,2,English,than
91,3,German,als
91,4,Hindi,se
91,5,Italian,di
91,6,Latin,quam
91,7,Russian,chem
91,8,Sanskrit,iva
92,0,English,call
92,1,German,Anhuf
92,2,Hindi,kol
92,3,Italian,chiamatha
92,4,Latin,voca
92,5,Spanish,llamada
92,6,French,appel
92,7,Russian,vyzov
92,8,Sanskrit,aahu
93,1,French,premier
93,1,Italian,primo
93,1,Latin,primis
93,1,Spanish,primero
93,2,English,first
93,3,German,zuerst
93,4,Hindi,pratham
93,5,Russian,piervyy
93,6,Sanskrit,agrima
94,1,French,qui
94,1,Latin,qui
94,2,English,who
94,3,German,Wer
94,4,Hindi,kaun
94,5,Italian,chi
94,6,Spanish,qien
94,7,Russian,kto
94,8,Sanskrit,katala
95,1,English,may
95,1,Spanish,mayo
95,2,German,kann
95,3,Hindi,ho sakata hai
95,4,Italian,pothrebbe
95,5,Latin,ut
95,6,French,peut
95,7,Russian,mozhet
95,8,Sanskrit,pajcamamsa
96,1,Hindi,neeche
96,1,Sanskrit,neeche
96,2,English,down
96,3,German,Nieder
96,4,Italian,giu
96,5,Latin,descendit
96,6,Spanish,abaho
96,7,French,vers le bas
96,8,Russian,vniz
97,1,Italian,latho
97,1,Spanish,ladho
97,2,English,side
97,3,German,zeite
97,4,Hindi,paksh
97,5,Latin,latus
97,6,French,côté
97,7,Russian,bokovaya storona
97,8,Sanskrit,tiryarcha
98,1,Italian,sthatho
98,1,Spanish,esthadho
98,2,English,been
98,2,Latin,been
98,3,German,gewesen
98,4,Hindi,gaya
98,5,French,été
98,6,Russian,bylo by
98,7,Sanskrit,
99,0,English,now
99,1,German,yetzt
99,2,Hindi,abhee va
99,3,Italian,adesso
99,4,Latin,nunc
99,5,Spanish,ahora
99,6,French,à présent
99,7,Russian,seychas
99,8,Sanskrit,nunam
100,1,English,find
100,1,German,finden
100,2,Hindi,khoj
100,3,Italian,throva
100,4,Latin,inveniet
100,5,Spanish,encontrar
100,6,French,trouver
100,7,Russian,nakhodit
100,8,Sanskrit,samsidati
101,0,English,any
101,1,German,irgendein
101,2,Hindi,koee bhee
101,3,Italian,qualunque
101,4,Latin,nihil
101,5,Spanish,alguna
101,6,French,tout
101,7,Russian,lyuboy
101,8,Sanskrit,
102,1,Italian,nuovo
102,1,Spanish,nuevo
102,2,English,new
102,3,German,Neu
102,4,Hindi,naya
102,5,Latin,novus
102,6,French,Nouveau
102,7,Russian,novyy
102,8,Sanskrit,navin
103,0,English,work
103,1,German,Arbeit
103,2,Hindi,kaam
103,3,Italian,lavoro
103,4,Latin,opus
103,5,Spanish,trabaho
103,6,French,travail
103,7,Russian,Rabota
103,8,Sanskrit,karman
104,1,English,part
104,1,French,partie
104,1,Italian,parthe
104,1,Latin,pars
104,1,Spanish,parthe
104,2,German,Teil
104,3,Hindi,ansh
104,4,Russian,chast
104,5,Sanskrit,bhaga
105,1,French,prendre
105,1,Italian,prendhere
105,2,English,take
105,3,German,nehmen
105,4,Hindi,lena
105,5,Latin,accipere
105,6,Spanish,thomar
105,7,Russian,prinimat
105,8,Sanskrit,aadatte
106,1,French,obtenir
106,1,Italian,otthenere
106,1,Spanish,obtener
106,2,English,get
106,3,German,erhalten
106,4,Hindi,praapt
106,5,Latin,ut
106,6,Russian,poluchit
106,7,Sanskrit,labhate
107,1,Hindi,jagah
107,1,Sanskrit,jagah
107,2,English,place
107,3,German,Platz
107,4,Italian,postho
107,5,Latin,locus
107,6,Spanish,lugar
107,7,French,endroit
107,8,Russian,mesto
108,0,English,made
108,1,German,gemasht
108,2,Hindi,banaaya gaya
108,3,Italian,fattho
108,4,Latin,factum
108,5,Spanish,hecho
108,6,French,fabriqué
108,7,Russian,sdelal
108,8,Sanskrit,rachitha
109,1,French,vivre
109,1,Italian,vivere
109,1,Latin,vivet
109,1,Spanish,vivir
109,2,English,live
109,3,German,Leben
109,4,Hindi,jeena
109,5,Russian,zhit
109,6,Sanskrit,vasati
110,1,English,where
110,1,German,woher
110,2,Hindi,kaha pe
110,3,Italian,dhove
110,4,Latin,ubi
110,5,Spanish,dhondhe
110,6,French,où
110,7,Russian,gde
110,8,Sanskrit,kutra
111,0,English,after
111,1,German,nash dem
111,2,Hindi,baad
111,3,Italian,dhopo
111,4,Latin,post
111,5,Spanish,despues
111,6,French,après
111,7,Russian,posle
111,8,Sanskrit,uttara
112,0,English,back
112,1,German,zurück
112,2,Hindi,vaapas
112,3,Italian,indietro
112,4,Latin,rursus
112,5,Spanish,atras
112,6,French,retour
112,7,Russian,nazad
112,8,Sanskrit,
113,0,English,little
113,1,German,wenig
113,2,Hindi,thoda
113,3,Italian,poco
113,4,Latin,paulo
113,5,Spanish,pekenyo
113,6,French,peu
113,7,Russian,nemnogo
113,8,Sanskrit,laghu
114,1,Hindi,keval
114,1,Sanskrit,kevalam
114,2,English,only
114,3,German,nur
114,4,Italian,solo
114,5,Latin,tantum
114,6,Spanish,solamente
114,7,French,seulement
114,8,Russian,tolko
115,1,English,round
115,1,French,rond
115,1,German,runden
115,1,Spanish,redondo
115,2,Hindi,gol
115,3,Italian,il giro
115,4,Latin,circum
115,5,Russian,kruglyy
115,6,Sanskrit,vartula
116,1,French,homme
116,1,Spanish,hombre
116,2,English,man
116,3,German,Mann
116,4,Hindi,aadamee
116,5,Italian,uomo
116,6,Latin,vir
116,7,Russian,chelovek
116,8,Sanskrit,purusha
117,1,English,year
117,1,German,yahr
117,2,Italian,anno
117,2,Spanish,anyo
117,3,Hindi,saal
117,4,Latin,annos singulos
117,5,French,année
117,6,Russian,god
117,7,Sanskrit,varsa
118,1,English,came
118,1,German,came
118,1,Latin,came
118,2,Hindi,aa gaya
118,2,Sanskrit,aagata
118,3,Italian,e venutho
118,4,Spanish,vino
118,5,French,venu
118,6,Russian,prishel
119,1,English,show
119,1,German,Show
119,1,Russian,shou
119,2,French,spectacle
119,2,Spanish,espectaclo
119,3,Hindi,pradarshan
119,4,Italian,mostrare
119,5,Latin,ostende
119,6,Sanskrit,drishya
120,0,English,every
120,1,German,yeden
120,2,Hindi,har ek
120,3,Italian,ogni
120,4,Latin,omne
120,5,Spanish,cada
120,6,French,chaque
120,7,Russian,kazhdyy
120,8,Sanskrit,sarva
121,1,French,bien
121,1,Italian,bene
121,2,English,good
121,3,German,gut
121,4,Hindi,achchha
121,5,Latin,bonum
121,6,Spanish,bueno
121,7,Russian,khorosho
121,8,Sanskrit,kritin
122,1,English,me
122,1,Italian,me
122,1,Russian,mne
122,2,German,mir
122,3,Hindi,mujhe
122,4,Latin,mihi
122,5,Spanish,yo
122,6,French,moi
122,7,Sanskrit,
123,1,Italian,dare
123,1,Latin,dare
123,1,Spanish,dar
123,2,English,give
123,3,German,geben
123,4,Hindi,dena
123,5,French,donner
123,6,Russian,dat
123,7,Sanskrit,dadati
124,1,Italian,nosthro
124,1,Latin,nostrorum
124,1,Spanish,nuestro
124,2,English,our
124,3,German,unsere
124,4,Hindi,hamaaree
124,5,French,notre
124,6,Russian,nash
124,7,Sanskrit,asmakam
125,1,English,under
125,1,German,unter
125,2,Hindi,ke antargat
125,3,Italian,sottho
125,4,Latin,sub
125,5,Spanish,debaho
125,6,French,sous
125,7,Russian,pod
125,8,Sanskrit,adhah
126,1,English,name
126,1,Hindi,naam
126,1,Italian,nome
126,1,Latin,nomine
126,1,Spanish,nombre
126,2,German,Nam
126,3,French,prénom
126,4,Russian,nazvaniye
126,5,Sanskrit,aakhya
127,0,English,very
127,1,German,sehr
127,2,Hindi,bahut
127,3,Italian,moltho
127,4,Latin,ipsum
127,5,Spanish,muy
127,6,French,très
127,7,Russian,ochen
127,8,Sanskrit,ativa
128,1,French,à travers
128,1,Italian,attraverso
128,2,English,through
128,3,German,durch
128,4,Hindi,ke maadhyam se
128,5,Latin,propter
128,6,Spanish,mediante
128,7,Russian,cherez
128,8,Sanskrit,viyati
129,1,English,just
129,1,French,juste
129,2,German,gerade
129,3,Hindi,keval
129,4,Italian,appena
129,5,Latin,tantum
129,6,Spanish,solo
129,7,Russian,prosto
129,8,Sanskrit,viyati
130,1,English,form
130,1,French,forme
130,1,Latin,forma
130,1,Russian,forma
130,1,Spanish,formar
130,2,German,bilden
130,3,Hindi,prapatr
130,4,Italian,modulo
130,5,Sanskrit,akara
131,1,French,phrase
131,1,Italian,frase
131,1,Spanish,frase
131,2,English,sentence
131,3,German,Satz
131,4,Hindi,vaaky
131,5,Latin,damnationem
131,6,Russian,predlozheniye
131,7,Sanskrit,
132,1,Hindi,mahaan
132,1,Sanskrit,majan
132,2,English,great
132,3,German,grossartig
132,4,Italian,grande
132,5,Latin,magna
132,6,Spanish,henial
132,7,French,génial
132,8,Russian,otlichnyy
133,1,Russian,schitat
133,1,Sanskrit,chintyati
133,2,French,pense
133,2,Italian,pensare
133,2,Spanish,pensar
133,3,English,think
133,4,German,denken
133,5,Hindi,soch
133,6,Latin,cogitare
134,1,French,dire
134,1,Italian,dire
134,1,Latin,dicere
134,2,English,say
134,3,German,zagen
134,4,Hindi,kahana
134,5,Spanish,decir
134,6,Russian,skazat
134,7,Sanskrit,vadati
135,0,English,help
135,1,German,Hilfe
135,2,Hindi,madad
135,3,Italian,Aiuto
135,4,Latin,auxilium
135,5,Spanish,ayuda
135,6,French,Aidez-moi
135,7,Russian,Pomogite
135,8,Sanskrit,sahayatha
136,0,English,low
136,1,German,niedrig
136,2,Hindi,kam
136,3,Italian,Basso
136,4,Latin,humilis
136,5,Spanish,baho
136,6,French,faible
136,7,Russian,nizkiy
136,8,Sanskrit,neeche
137,1,English,line
137,1,French,ligne
137,1,Hindi,lain
137,1,Italian,linea
137,1,Russian,liniya
137,1,Spanish,linea
137,2,German,Linie
137,3,Latin,acies
137,4,Sanskrit,rekha
138,1,English,differ
138,1,French,différer
138,1,Italian,differire
138,1,Latin,differunt
